as_rank,asn,as_name,is_cloud,instance_count
4045,41164,GET-NO,0,1
4055,55286,SERVER-MANIA,0,2
4057,61157,PLUSSERVER-ASN1,0,1
4062,32244,LIQUIDWEB,0,1
4090,39647,REDHOSTING-AS,0,1
4101,197695,AS-REGRU,0,1
4105,8820,TAL-DE,0,1
4148,44489,Starnet,0,2
4212,42306,EDERA_Group,0,1
4233,12496,IDNET,0,3
4239,31169,SOGNENETT-AS,0,1
4246,39251,NETGUARD,0,1
4284,215120,Evolus-IX,0,1
4354,51659,ASBAXET,0,2
4363,20766,GITOYEN-MAIN-AS,0,5
4398,214481,wczapkowicz-as,0,1
4437,207003,WEB1-AS,0,1
4547,51519,Karabro,0,1
4586,211301,UNESTY,0,2
4624,395823,DOOF,0,1
4664,12322,PROXAD,0,70
4666,5607,BSKYB-BROADBAND-AS,0,1
4671,132203,TENCENT-NET-AP-CN,0,2
4693,31655,ASN-GammaTelecom,0,1
4696,13037,ZEN-AS,0,13
4699,29066,VELIANET-AS,0,3
4714,59729,ITL-BG,0,1
4721,3258,XTOM-JAPAN,0,1
4723,1403,EBOX,0,4
4730,12946,TeleCable,0,3
4734,40788,MULTIB-40788,0,2
4769,9031,EDPNET,0,3
4785,2602,RESTENA,0,1
4817,58791,GMOOSK-NET,0,10
4826,40913,QTS-SJC,0,1
4865,964,IONSWITCH-NW,0,1
4892,31103,KEYWEB-AS,0,3
4912,42695,CNHAB,0,1
4915,33333,OBJX,0,1
4919,31736,SENSELAN-AS,0,1
4945,24958,TBSH,0,1
4983,22413,EMPOWER,0,1
4999,395839,HOSTKEY-USA,0,1
5008,16842,5DL-AS,0,1
5040,6775,FINK-TELECOM-SERVICES,0,1
5058,51484,BLOKOWE,0,1
5067,21378,CTCTVER,0,1
5068,1100,NUDAY,0,1
5073,15372,IBH-AS,0,1
5145,207252,Realtox-Media,0,1
5230,19383,WEBEL-1,0,1
5337,197692,Conostix,0,1
5572,59645,WYBT-NET,0,1
5584,35701,BCH-AS,0,3
5637,213113,KAMEL,0,1
